"","Year","State","State.ANSI","Data.Item","Fertilizer","Value"
"51",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",75
"52",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",16
"53",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",9.9
"54",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",11.3
"55",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",14.3
"56",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",8.2
"57",2019,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",98
"58",2019,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",49
"59",2019,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",49
"60",2019,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",30
"61",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","NITROGEN",320000
"62",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","PHOSPHATE",86000
"63",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","POTASH",389000
"64",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","SULFUR",NA
"65",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",1
"66",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",1
"67",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",2
"68",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",NA
"69",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",39
"70",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",17
"71",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",43
"72",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",NA
"73",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",28.7
"74",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",18.6
"75",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",25.2
"76",2019,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",NA
"77",2019,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",83
"78",2019,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",52
"79",2019,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",91
"80",2019,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",NA
"81",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","NITROGEN",10676000
"82",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","PHOSPHATE",5745000
"83",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","POTASH",10583000
"84",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","SULFUR",2637000
"85",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",18
"86",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",15
"87",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",24
"88",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",9
"89",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",307
"90",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",172
"91",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",315
"92",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",91
"93",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",16.9
"94",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",11.8
"95",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",13.2
"96",2018,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",10.2
"97",2018,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",97
"98",2018,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",93
"99",2018,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",94
"100",2018,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",81
"101",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","NITROGEN",136000
"102",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","PHOSPHATE",42000
"103",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","POTASH",173000
"104",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",1
"105",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",NA
"106",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",1
"107",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",14
"108",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",4
"109",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",17
"110",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",18
"111",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",17.6
"112",2018,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",18
"113",2018,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",100
